Key,Desc,Default,English
"(Optional) Upload the normal-bump texture for your model to a web host, then copy paste the direct link here.",,"(Optional) Upload the normal/bump texture for your model to a web host, then copy paste the direct link here.","(Optional) Upload the normal/bump texture for your model to a web host, then copy paste the direct link here."
"(Optional) Upload your image to a web host, then copy paste the direct link here.",,"(Optional) Upload your image to a web host, then copy paste the direct link here.","(Optional) Upload your image to a web host, then copy paste the direct link here."
(Optional) Workshop Thumbnail URL:,,(Optional) Workshop Thumbnail Url:,(Optional) Workshop Thumbnail Url:
(Right Bumper) and hold your pointer on the deck.,,<Right Bumper> and hold your pointer on the deck.,<Right Bumper> and hold your pointer on the deck.
(Right Bumper) and quickly drag away from the deck.,,<Right Bumper> and quickly drag away from the deck.,<Right Bumper> and quickly drag away from the deck.
(Right Click) on an object to bring it up.,,<Right Click> on an object to bring it up.,<Right Click> on an object to bring it up.
(Root Folder),,<Root Folder>,<Root Folder>
({0}) and hold your hand on the deck.,,<{0}> and hold your hand on the deck.,<{0}> and hold your hand on the deck.
({0}) and quickly drag away from the deck.,,<{0}> and quickly drag away from the deck.,<{0}> and quickly drag away from the deck.
10 digit number found in the URL of your mod on the Workshop,,10 digit number found in the URL of your mod on the Workshop,10 digit number found in the URL of your mod on the Workshop
1ST PERSON CAMERA,,1St Person Camera,1St Person Camera
1st Person,,1st Person,1st Person
2D,,2D,2D
"2D Art, UI, DLCs & PR",,"2D art, UI, DLCs","2D art, UI, DLCs"
2D Pointer,,2D Pointer,2D Pointer
2D or 3D,,2D or 3D,2D or 3D
2d3dlong,,"When in 2D measurements will be flattened onto the horizontal plane.  

When in 3D height will be incorporated into the measurement.","When in 2D measurements will be flattened onto the horizontal plane.  

When in 3D height will be incorporated into the measurement."
3D,,3D,3D
3D Pointer,,3D Pointer,3D Pointer
3D Prop Art,,3D Prop Art,3D Prop Art
3RD-TOP DOWN CAMERA,,3RD/Top Down Camera,3RD/Top Down Camera
3rd Person,,3rd Person,3rd Person
ADD AUDIO,,ADD AUDIO,ADD AUDIO
ADVANCED,,Advanced,Advanced
ALL SERVERS,,All Servers,All Servers
ALL TAGS,,All Tags,All Tags
ALT Zoom and Hidden Areas do not work on it.,,ALT Zoom and Hidden Areas do not work on it.,ALT Zoom and Hidden Areas do not work on it.
APPLY,,Apply,Apply
Abstract Games,,Abstract Games,Abstract Games
Action,,Action,Action
Active Tags Displayed Here!,,Active Tags Displayed Here!,Active Tags Displayed Here!
Add Custom Tag:,,Add Custom Tag:,Add Custom Tag:
Add New,,Add New,Add New
Add Tag:,,Add Tag:,Add Tag:
Add a tag to the selected components.,,Add a tag to the selected components.,Add a tag to the selected components.
Additive Load,,Additive Load,Additive Load
Adds soft shadows to the scene for a greater sense of depth. Costly performance.,,Adds soft shadows to the scene for a greater sense of depth. Costly performance.,Adds soft shadows to the scene for a greater sense of depth. Costly performance.
Admin,,Admin,Admin
Advanced Mode,,Advanced Mode,Advanced Mode
Advanced Options,,Advanced Options,Advanced Options
Align Zoomed Object,,Align Zoomed Object,Align Zoomed Object
All,,All,All
All Commands,,All Commands,All Commands
All actions will be executed on all highlighted objects.,,All actions will be executed on all highlighted objects.,All actions will be executed on all highlighted objects.
Allow Swapping,,Allow Swapping,Allow Swapping
Allows player to be able to change their color-seat.,,Allows player to be able to change their color/seat.,Allows player to be able to change their color/seat.
Allows players to be able to create or destroy hidden areas or randomize zones.,,Allows players to be able to create or destroy hidden areas or randomize zones.,Allows players to be able to create or destroy hidden areas or randomize zones.
Allows players to be able to draw with the paint tool on the table.,,Allows players to be able to draw with the paint tool on the table.,Allows players to be able to draw with the paint tool on the table.
Allows players to be able to draw.,,Allows players to be able to draw.,Allows players to be able to draw.
"Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc).",,"Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc).","Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc)."
"Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc).",,"Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc).","Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc)."
Allows players to be able to interact with the music player.,,Allows players to be able to interact with the music player.,Allows players to be able to interact with the music player.
Allows players to be able to interact with the tablets.,,Allows players to be able to interact with the tablets.,Allows players to be able to interact with the tablets.
Allows players to be able to nudge objects.,,Allows players to be able to nudge objects.,Allows players to be able to nudge objects.
Allows players to be able to peek under objects.,,Allows players to be able to peek under objects.,Allows players to be able to peek under objects.
Allows players to be able to save objects.,,Allows players to be able to save objects.,Allows players to be able to save objects.
Allows players to be able to use the decal tool.,,Allows players to be able to use the decal tool.,Allows players to be able to use the decal tool.
Allows players to be able to use the line tool. This includes the to ping location.,,Allows players to be able to use the line tool. This includes the to ping location.,Allows players to be able to use the line tool. This includes the to ping location.
Allows players to combine objects together with the combine tool.,,Allows players to combine objects together with the combine tool.,Allows players to combine objects together with the combine tool.
Allows players to create or destroy joints.,,Allows players to create or destroy joints.,Allows players to create or destroy joints.
Allows players to edit the notebook or text on screen.,,Allows players to edit the notebook or text on screen.,Allows players to edit the notebook or text on screen.
Allows players to flick objects.,,Allows players to flick objects.,Allows players to flick objects.
Allows players to flip the table.,,Allows players to flip the table.,Allows players to flip the table.
Allows players to increase or decrease the size of objects.,,Allows players to increase or decrease the size of objects.,Allows players to increase or decrease the size of objects.
Allows players to join or leave teams.,,Allows players to join or leave teams.,Allows players to join or leave teams.
Allows players to lock and unlock objects in place.,,Allows players to lock and unlock objects in place.,Allows players to lock and unlock objects in place.
"Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)",,"Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)","Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)"
Alpha,,Alpha,Alpha
Alt,,Alt,Alt
Alt-Zoom Always On,,Alt-Zoom Always On,Alt-Zoom Always On
Alt-Zoom Follows Pointer,,Alt-Zoom Follows Pointer,Alt-Zoom Follows Pointer
Alternate Direction,,Alternate Direction,Alternate Direction
"Alternatively, you can also hold an object & press your middle mouse button.",,"Alternatively, you can also hold an object & press your middle mouse button.","Alternatively, you can also hold an object & press your middle mouse button."
"Alternatively, you can also hold an object & use the scroll wheel on your mouse.",,"Alternatively, you can also hold an object & use the scroll wheel on your mouse.","Alternatively, you can also hold an object & use the scroll wheel on your mouse."
"Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects.",,"Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects.","Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects."
"Alternatively, you can press the chat icon on the bottom left to text chat.",,"Alternatively, you can press the chat icon on the bottom left to text chat.","Alternatively, you can press the chat icon on the bottom left to text chat."
Always On,,Always On,Always On
"Always display the on-screen keyboard,",,"Always display the on-screen keyboard,","Always display the on-screen keyboard,"
Amaranth,,Amaranth,Amaranth
Ambient,,Ambient,Ambient
Ambient Intensity,,Ambient Intensity,Ambient Intensity
An advanced feature for scripting. Can be used to return all objects in this zone.,,An advanced feature for scripting. Can be used to return all objects in this zone.,An advanced feature for scripting. Can be used to return all objects in this zone.
Anchor,,Anchor,Anchor
Anchored,,Anchored,Anchored
And all our Kickstarter Supporters! Thank you very much!,,And all our Kickstarter Supporters! Thank you very much!,And all our Kickstarter Supporters! Thank you very much!
Angular Drag,,Angular Drag,Angular Drag
Animals,,Animals,Animals
Animations,,Animations,Animations
Anisotropic Filtering,,Anisotropic Filtering,Anisotropic Filtering
Anyone can join with an optional password.,,Anyone can join with an optional password.,Anyone can join with an optional password.
Are you looking for players to join you?,,Are you looking for players to join you?,Are you looking for players to join you?
Are you sure you want to additively load {0}?,,Are you sure you want to additively load {0}?,Are you sure you want to additively load {0}?
Are you sure you want to clear the table?,,Are you sure you want to clear the table?,Are you sure you want to clear the table?
Are you sure you want to delete script {0}?,,Are you sure you want to delete script {0}?,Are you sure you want to delete script {0}?
Are you sure you want to delete {0}?,,Are you sure you want to delete {0}?,Are you sure you want to delete {0}?
Are you sure you want to exit to the Main Menu?,,Are you sure you want to exit to the Main Menu?,Are you sure you want to exit to the Main Menu?
Are you sure you want to load {0}?,,Are you sure you want to load {0}?,Are you sure you want to load {0}?
Arms,Weapons,Arms,Arms
Arms Coin 2,Weapons Coin 2,Arms Coin 2,Arms Coin 2
Arms Coin 3,Weapons Coin 3,Arms Coin 3,Arms Coin 3
Arms Coin 4,Weapons Coin 4,Arms Coin 4,Arms Coin 4
Arms Coin 5,Weapons Coin 5,Arms Coin 5,Arms Coin 5
Arms Coin Ace,Weapons Coin Ace,Arms Coin Ace,Arms Coin Ace
Arms Coin Blank,Weapons Coin Blank,Arms Coin Blank,Arms Coin Blank
Arms Dice,Weapons Dice,Arms Dice,Arms Dice
Arms Square 2,Weapons Square 2,Arms Square 2,Arms Square 2
Arms Square 3,Weapons Square 3,Arms Square 3,Arms Square 3
Arms Square 4,Weapons Square 4,Arms Square 4,Arms Square 4
Arms Square 5,Weapons Square 5,Arms Square 5,Arms Square 5
Arms Square Ace,Weapons Square Ace,Arms Square Ace,Arms Square Ace
Arms Square Blank,Weapons Square Blank,Arms Square Blank,Arms Square Blank
Arrow-Line Tool,,Arrow/Line Tool,Arrow/Line Tool
Arrows next to the top menu rewind-forward time (host only).,,Arrows next to the top menu rewind/forward time (host only).,Arrows next to the top menu rewind/forward time (host only).
Asset name,,Asset name,Asset name
AssetBundle,,AssetBundle,AssetBundle
Assets,,Assets,Assets
Attach,,Attach,Attach
Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.,,Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.,Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.
Attached UI Screen,,Attached UI Screen,Attached UI Screen
Attack,,Attack,Attack
Audio,,Audio,Audio
Audio name,,Audio name,Audio name
Auto,,Auto,Auto
Auto Hide Chat,,Auto Hide Chat,Auto Hide Chat
Auto Run,,Auto Run,Auto Run
Auto Scale,,Auto Scale,Auto Scale
Auto connect to IRC on startup.,,Auto connect to IRC on startup.,Auto connect to IRC on startup.
Auto raise,,Auto raise,Auto raise
Auto scale will automatically size the UI to match the resolution ignoring the slider.,,Auto scale will automatically size the UI to match the resolution ignoring the slider.,Auto scale will automatically size the UI to match the resolution ignoring the slider.
"Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position.",,"Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position.","Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position."
Autofocus Search Input,,Autofocus Search Input,Autofocus Search Input
Automatic,,Automatic,Automatic
Automatically arranges objects (predominantly cards),,Automatically arranges objects (predominantly cards),Automatically arranges objects (predominantly cards)
Autoraise,,Autoraise,Autoraise
Autosave Interval,,Autosave Interval,Autosave Interval
Autosave Log,,Autosave Log,Autosave Log
Available space on Steam Cloud. ~100 GB available total.,,Available space on Steam Cloud. ~100 GB available total.,Available space on Steam Cloud. ~100 GB available total.
Axis,,Axis,Axis
BACKGROUNDS,,Backgrounds,Backgrounds
BLOCK,,Block,Block
BLOCKED,,Blocked,Blocked
Back,,Back,Back
Back Image,,Back Image,Back Image
Back is Hidden,,Back is Hidden,Back is Hidden
Backgammon,,Backgammon,Backgammon
Background,,Background,Background
Backspace,,Backspace,Backspace
Bad Connection,,Bad Connection,Bad Connection
Bag,,Bag,Bag
Barghest,,Barghest,Barghest
Barrel,,Barrel,Barrel
Basilisk,,Basilisk,Basilisk
Battle For Souls,,Battle For Souls,Battle For Souls
Bear,,Bear,Bear
Bind,,Bind,Bind
Bishop,,Bishop,Bishop
Bishop Cast Iron,,Bishop Cast Iron,Bishop Cast Iron
Bishop Chrome,,Bishop Chrome,Bishop Chrome
Bishop Dark,,Bishop Dark,Bishop Dark
Bishop Light,,Bishop Light,Bishop Light
Bishop Supporters,,Bishop Supporters,Bishop Supporters
Black,,Black,Black
Black (Game Master - see all hidden information),,Black (Game Master - see all hidden information),Black (Game Master - see all hidden information)
Black (Game Master),,Black (Game Master),Black (Game Master)
Black Bowl,,Black Bowl,Black Bowl
Black Dragon,,Black Dragon,Black Dragon
Black Piece,,Black Piece,Black Piece
Blindfold,,Blindfold,Blindfold
Blindfolded (Can't see),,Blindfolded (Can't see),Blindfolded (Can't see)
Block ?,,Block <Player>?,Block <Player>?
Block {0}?,,Block {0}?,Block {0}?
Blocks,,Blocks,Blocks
Blue,,Blue,Blue
Blue 10,,Blue 10,Blue 10
Blue Rectangle,,Blue Rectangle,Blue Rectangle
Board,,Board,Board
Board Games,,Board Games,Board Games
Boardgame,,Boardgame,Boardgame
Boards,,Boards,Boards
Book Buttons On Hover,,Book Buttons On Hover,Book Buttons On Hover
Book Page Opacity,,Book Page Opacity,Book Page Opacity
Book UI Opacity,,Book UI Opacity,Book UI Opacity
Both,,Both,Both
Bottom Image,,Bottom Image,Bottom Image
Bounciness,,Bounciness,Bounciness
Bowl,,Bowl,Bowl
Box,,Box,Box
Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.,,Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.,Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.
Break Force,,Break Force,Break Force
Break Torque,,Break Torque,Break Torque
Brightness,,Brightness,Brightness
Broken Confirmation Dialog!,,Broken Confirmation Dialog!,Broken Confirmation Dialog!
Brown,,Brown,Brown
Brown Backgammon,,Brown Backgammon,Brown Backgammon
Browse,,Browse,Browse
Browse Local Files,,Browse Local Files,Browse Local Files
Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.,,Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.,Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.
Browse mods on the Workshop.,,Browse mods on the Workshop.,Browse mods on the Workshop.
Business Coordinator,,Business Coordinator,Business Coordinator
CHAT COMMANDS,,Chat Commands,Chat Commands
CHOOSE_FOLDER,,Choose folder,Choose folder
CLASSIC,,Classic,Classic
CLEAR,,Clear,Clear
CLOUD,,Cloud,Cloud
CM,,CM,CM
COMPONENTS,,Components,Components
CONTEXTUAL MENU,,Contextual Menu,Contextual Menu
CONTROLLERS,,Controllers,Controllers
CONTROLS,,Controls,Controls
CREATE,,Create,Create
CREATE ASSET,,Create Asset,Create Asset
CREATE DECAL,,Create Decal,Create Decal
CUSTOM ASSETBUNDLE,,Custom Assetbundle,Custom Assetbundle
CUSTOM BACKGROUND,,Custom Background,Custom Background
CUSTOM BOARD,,Custom Board,Custom Board
CUSTOM CARD,,Custom Card,Custom Card
CUSTOM DECK,,Custom Deck,Custom Deck
CUSTOM DICE,,Custom Dice,Custom Dice
CUSTOM FIGURINE,,Custom Figurine,Custom Figurine
CUSTOM IMAGE,,Custom Image,Custom Image
CUSTOM JIGSAW,,Custom Jigsaw,Custom Jigsaw
CUSTOM MODEL,,Custom Model,Custom Model
CUSTOM OBJECT,,Custom Object,Custom Object
CUSTOM PDF,,Custom PDF,Custom PDF
CUSTOM TABLE,,Custom Table,Custom Table
CUSTOM TABLE SQUARE,,Custom Table Square,Custom Table Square
CUSTOM TILE,,Custom Tile,Custom Tile
CUSTOM TOKEN,,Custom Token,Custom Token
Calculator,,Calculator,Calculator
Camera,,Camera,Camera
Camera Down,,Camera Down,Camera Down
Camera Hold Rotate,,Camera Hold Rotate,Camera Hold Rotate
Camera Left,,Camera Left,Camera Left
Camera Load Spin Rate,,Camera Load Spin Rate,Camera Load Spin Rate
Camera Mode,,Camera Mode,Camera Mode
Camera Right,,Camera Right,Camera Right
Camera Up,,Camera Up,Camera Up
Camera mode that functions like a FPS.,,Camera mode that functions like a FPS.,Camera mode that functions like a FPS.
Camera mode that functions like a top down 2d game.,,Camera mode that functions like a top down 2d game.,Camera mode that functions like a top down 2d game.
Camera mode that is like a spectator camera in a FPS.,,Camera mode that is like a spectator camera in a FPS.,Camera mode that is like a spectator camera in a FPS.
Camera mode that orbits a point similar to a MMO.,,Camera mode that orbits a point similar to a MMO.,Camera mode that orbits a point similar to a MMO.
Camera mode that orbits a point.,,Camera mode that orbits a point.,Camera mode that orbits a point.
Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users,,Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users,Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users
Cancel,,Cancel,Cancel
Cannot overwrite default themes.,,Cannot overwrite default themes.,Cannot overwrite default themes.
Cap Framerate,,Cap Framerate,Cap Framerate
Card,,Card,Card
Card Games,,Card Games,Card Games
Card Hands,,Card Hands,Card Hands
Card Is A Deck For Hotkeys,,Card Is A Deck For Hotkeys,Card Is A Deck For Hotkeys
Card Scale,,Card Scale,Card Scale
CardBot,,CardBot,CardBot
CardBots Head Deck,,CardBots Head Deck,CardBots Head Deck
CardBots Main Deck,,CardBots Main Deck,CardBots Main Deck
Cardboard,,Cardboard,Cardboard
Cards,,Cards,Cards
Cards-Per-Deck,,Cards Per Deck,Cards Per Deck
Cast Shadows,,Cast Shadows,Cast Shadows
Category,,Category,Category
Cathedral,,Cathedral,Cathedral
Centaur,,Centaur,Centaur
Center,,Center,Center
Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.,,Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.,Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.
Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.,,Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.,Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.
Centre On Mouse Wheel,,Centre On Mouse Wheel,Centre On Mouse Wheel
Cerberus,,Cerberus,Cerberus
Certain object types have special properties to make them behave more naturally.,,Certain object types have special properties to make them behave more naturally.,Certain object types have special properties to make them behave more naturally.
Chair,,Chair,Chair
Change Color,,Change Color,Change Color
Change Team,,Change Team,Change Team
"Change any settings like Graphics, Controls, UI, etc.",,"Change any settings like Graphics, Controls, UI, etc.","Change any settings like Graphics, Controls, UI, etc."
Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat),,Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat),Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat)
Change the chat window color.,,Change the chat window color.,Change the chat window color.
Change the color of the light shining from above.,,Change the color of the light shining from above.,Change the color of the light shining from above.
Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.,,Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.,Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.
Change the tooltip on object based on its rotation. Great for custom dice or tiles.,,Change the tooltip on object based on its rotation. Great for custom dice or tiles.,Change the tooltip on object based on its rotation. Great for custom dice or tiles.
Change to the next page.,,Change to the next page.,Change to the next page.
Change to the next state.,,Change to the next state.,Change to the next state.
Changes chat Opacity.,,Changes chat Opacity.,Changes chat Opacity.
Changes how strong the light shines from above. This also effects the strength of the shadows.,,Changes how strong the light shines from above. This also effects the strength of the shadows.,Changes how strong the light shines from above. This also effects the strength of the shadows.
Changes the Camera look speed.,,Changes the Camera look speed.,Changes the Camera look speed.
Changes the amount the camera can see.,,Changes the amount the camera can see.,Changes the amount the camera can see.
Changes the color of the grid.,,Changes the color of the grid.,Changes the color of the grid.
Changes the font size.,,Changes the font size.,Changes the font size.
Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.,,Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.,Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.
Changes the global volume of everything.,,Changes the global volume of everything.,Changes the global volume of everything.
Changes the in-game volume of objects.,,Changes the in-game volume of objects.,Changes the in-game volume of objects.
Changes the intensity of the LUT.,,Changes the intensity of the LUT.,Changes the intensity of the LUT.
Changes the speed in which your camera moves.,,Changes the speed in which your camera moves.,Changes the speed in which your camera moves.
Changes the transparency the grid.,,Changes the transparency the grid.,Changes the transparency the grid.
Changes the volume of other player's voice.,,Changes the volume of other player's voice.,Changes the volume of other player's voice.
Changes the volume of the main menu music.,,Changes the volume of the main menu music.,Changes the volume of the main menu music.
Changes the volume of your voice.,,Changes the volume of your voice.,Changes the volume of your voice.
Chat,,Chat,Chat
Chat Settings,,Chat Settings,Chat Settings
Chat will auto hide after a set amount of time.,,Chat will auto hide after a set amount of time.,Chat will auto hide after a set amount of time.
Chat will filter rude words and misbehaviour.,,Chat will filter rude words and misbehaviour.,Chat will filter rude words and misbehaviour.
Check,,Check,Check
Check out the patch!,,Check out the patch!,Check out the patch!
Check this to enable controller input.,,Check this to enable controller input.,Check this to enable controller input.
Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.,,Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.,Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.
Checkers,,Checkers,Checkers
Chess,,Chess,Chess
Chest,,Chest,Chest
Chest Tools,,Chest Tools,Chest Tools
Chimera,,Chimera,Chimera
Chinese Checkers,,Chinese Checkers,Chinese Checkers
Chip,,Chip,Chip
Choose Color,,Choose [DA1918]C[E18438]o[E7E52C]l[31B32B]o[1F87FF]r,Choose [DA1918]C[E18438]o[E7E52C]l[31B32B]o[1F87FF]r
"Choose between a box, hex horizontal, or hex vertical grid.",,"Choose between a box, hex horizontal, or hex vertical grid.","Choose between a box, hex horizontal, or hex vertical grid."
Choose between automatic or custom turns.,,Choose between automatic or custom turns.,Choose between automatic or custom turns.
Choose between the old (Static) grid and the new one (Projection).,,Choose between the old (Static) grid and the new one (Projection).,Choose between the old (Static) grid and the new one (Projection).
Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.,,Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.,Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.
Choose the location for your mods folder.,,Choose the location for your mods folder.,Choose the location for your mods folder.
Circle,,Circle,Circle
Classic Games that are included as part of Tabletop Simulator by default.,,Classic Games that are included as part of Tabletop Simulator by default.,Classic Games that are included as part of Tabletop Simulator by default.
Clear the table.,,Clear the table.,Clear the table.
Click Tooltip on Menu,,Click Tooltip on Menu,Click Tooltip on Menu
Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Right click to change the color of the hand.,,Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Left-click to change the color of the hand.,Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Left-click to change the color of the hand.
Click and drag a zone for a Fog of War area.,,Click and drag a zone for a Fog of War area.,Click and drag a zone for a Fog of War area.
Click and drag a zone for your personal hidden area. Right click to change the color or click the settings gear for more options. Click again to delete the zone.,,Click and drag a zone for your personal hidden area. Left-click to change the color or click the settings gear for more options.,Click and drag a zone for your personal hidden area. Left-click to change the color or click the settings gear for more options.
"Click and drag to create a randomized zone. Everything in this zone will be randomized when you right click on it. This is good for randomizing cards, tiles, etc for games that need it.",,"Click and drag to create a randomized zone. Let-click it to show the Randomize button. This is good for randomizing cards, tiles, etc for games that need it.","Click and drag to create a randomized zone. Let-click it to show the Randomize button. This is good for randomizing cards, tiles, etc for games that need it."
Click edit to start typing here,,Click edit to start typing here,Click edit to start typing here
Click in the (Right Stick) to reset the camera.,,Click in the <Right Stick> to reset the camera.,Click in the <Right Stick> to reset the camera.
Click to End Turn,,Click to End Turn,Click to End Turn
Click to open page to knowledge base.,,Click to open page to knowledge base.,Click to open page to knowledge base.
Clone,,Clone,Clone
Clone copied objects to this location. This can also be done in the Global Contextual Menu.,,Clone copied objects to this location. This can also be done in the Global Contextual Menu.,Clone copied objects to this location. This can also be done in the Global Contextual Menu.
Cloud Manager,,Cloud Manager,Cloud Manager
Clubs,,Clubs,Clubs
Code,,Code,Code
Coin,,Coin,Coin
Collapse-Show Modding Actions,,Collapse/Show Modding Actions,Collapse/Show Modding Actions
Collapse-Show Movement Actions,,Collapse/Show Movement Actions,Collapse/Show Movement Actions
Collapse-Show Object Properties,,Collapse/Show Object Properties,Collapse/Show Object Properties
Collider,,Collider,Collider
Collision,,Collision,Collision
Color,,Color,Color
Color Tint,,Color Tint,Color Tint
