Key,Desc,Default,Chinese (Traditional)
Allows player to be able to change their color-seat.,,Allows player to be able to change their color/seat.,允許玩家更改他們的顏色／座位。
Allows players to be able to create or destroy hidden areas or randomize zones.,,Allows players to be able to create or destroy hidden areas or randomize zones.,允許玩家新增或刪除隱藏區或隨機區。
Allows players to be able to draw with the paint tool on the table.,,Allows players to be able to draw with the paint tool on the table.,允許玩家在桌面上使用繪畫工具塗鴉繪畫。
Allows players to be able to draw.,,Allows players to be able to draw.,允許玩家繪畫。
"Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc).",,"Allows players to be able to interact with digital objects (Mp3 player, Counter, Clock etc).",允許玩家使用數位物品（MP3 播放器、計數器、鐘錶等）。
"Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc).",,"Allows players to be able to interact with digital objects (Tablet, Mp3 player, Counter, etc).",允許玩家使用數位物品（掌上型電腦、MP3 播放器、計數器等）。
Allows players to be able to interact with the music player.,,Allows players to be able to interact with the music player.,允許玩家使用音樂播放器。
Allows players to be able to interact with the tablets.,,Allows players to be able to interact with the tablets.,允許玩家使用掌上型電腦。
Allows players to be able to nudge objects.,,Allows players to be able to nudge objects.,允許玩家輕推物件。
Allows players to be able to peek under objects.,,Allows players to be able to peek under objects.,允許玩家偷看物件下方。
Allows players to be able to save objects.,,Allows players to be able to save objects.,允許玩家儲存物件。
Allows players to be able to use the decal tool.,,Allows players to be able to use the decal tool.,允許玩家使用印花工具。
Allows players to be able to use the line tool. This includes the to ping location.,,Allows players to be able to use the line tool. This includes the to ping location.,允許玩家使用直線工具。此工具包括標記位置的功能。
Allows players to combine objects together with the combine tool.,,Allows players to combine objects together with the combine tool.,允許玩家使用組合工具連結物件。
Allows players to create or destroy joints.,,Allows players to create or destroy joints.,允許玩家新增或刪除節點。
Allows players to edit the notebook or text on screen.,,Allows players to edit the notebook or text on screen.,允許玩家編輯筆記或螢幕上的文字。
Allows players to flick objects.,,Allows players to flick objects.,允許玩家輕彈物件。
Allows players to flip the table.,,Allows players to flip the table.,允許玩家翻桌。
Allows players to increase or decrease the size of objects.,,Allows players to increase or decrease the size of objects.,允許玩家放大或縮小物件的尺寸。
Allows players to join or leave teams.,,Allows players to join or leave teams.,允許玩家加入或離開小組。
Allows players to lock and unlock objects in place.,,Allows players to lock and unlock objects in place.,允許玩家鎖定或解鎖物件。
"Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)",,"Allows players to perform actions in the right click menu (Name, Deal, Search, etc.)",允許玩家執行右鍵選單中的動作（名稱、發牌、搜尋等等。）
Alpha,,Alpha,Alpha
Alt,,Alt,Alt
Alt-Zoom Always On,,Alt-Zoom Always On,保持開啟 Alt 鍵縮放
Alt-Zoom Follows Pointer,,Alt-Zoom Follows Pointer,跟隨游標進行 Alt 鍵縮放
Alternate Direction,,Alternate Direction,交替方向
"Alternatively, you can also hold an object & press your middle mouse button.",,"Alternatively, you can also hold an object & press your middle mouse button.",或者，您可以拿取物件並點擊＜滑鼠中鍵＞。
"Alternatively, you can also hold an object & use the scroll wheel on your mouse.",,"Alternatively, you can also hold an object & use the scroll wheel on your mouse.",或者，您可以拿取物件並使用＜滑鼠滾輪＞。
"Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects.",,"Alternatively, you can also hold an object, press + and use the scroll wheel on your mouse to scale objects.",或者，您可以拿取物件，按下＜+＞並使用＜滑鼠滾輪＞更改大小比例。
"Alternatively, you can press the chat icon on the bottom left to text chat.",,"Alternatively, you can press the chat icon on the bottom left to text chat.",或者，您可以點擊底部文字聊天左側的聊天室圖示。
Always On,,Always On,保持開啟
"Always display the on-screen keyboard,",,"Always display the on-screen keyboard,",保持顯示虛擬鍵盤，
Amaranth,,Amaranth,Amaranth
Ambient,,Ambient,環境光
Ambient Intensity,,Ambient Intensity,環境光強度
An advanced feature for scripting. Can be used to return all objects in this zone.,,An advanced feature for scripting. Can be used to return all objects in this zone.,腳本的進階選項。可以用於將此區域的所有物件放回。
Anchor,,Anchor,錨點
Anchored,,Anchored,錨定桌面
And all our Kickstarter Supporters! Thank you very much!,,And all our Kickstarter Supporters! Thank you very much!,以及感謝我們所有的 Kickstarter 支持者！非常感謝你們！
Angular Drag,,Angular Drag,旋轉阻力
Animals,,Animals,動物
Animations,,Animations,動畫
Anisotropic Filtering,,Anisotropic Filtering,各向異性過濾
Anyone can join with an optional password.,,Anyone can join with an optional password.,任何人都可以使用密碼加入。
Are you looking for players to join you?,,Are you looking for players to join you?,是否要搜尋玩家加入您的房間呢？
Are you sure you want to additively load {0}?,,Are you sure you want to additively load {0}?,是否要額外載入「{0}」呢？
Are you sure you want to clear the table?,,Are you sure you want to clear the table?,是否要清空桌面呢？
Are you sure you want to delete script {0}?,,Are you sure you want to delete script {0}?,是否要刪除腳本「{0}」呢？
Are you sure you want to delete {0}?,,Are you sure you want to delete {0}?,是否要刪除「{0}」呢？
Are you sure you want to exit to the Main Menu?,,Are you sure you want to exit to the Main Menu?,是否要回到主選單呢？
Are you sure you want to load {0}?,,Are you sure you want to load {0}?,是否要載入「{0}」呢？
Arms,Weapons,Arms,武器
Arms Coin 2,Weapons Coin 2,Arms Coin 2,武器硬幣 2
Arms Coin 3,Weapons Coin 3,Arms Coin 3,武器硬幣 3
Arms Coin 4,Weapons Coin 4,Arms Coin 4,武器硬幣 4
Arms Coin 5,Weapons Coin 5,Arms Coin 5,武器硬幣 5
Arms Coin Ace,Weapons Coin Ace,Arms Coin Ace,武器硬幣 A
Arms Coin Blank,Weapons Coin Blank,Arms Coin Blank,武器硬幣 空白
Arms Dice,Weapons Dice,Arms Dice,武器骰子
Arms Square 2,Weapons Square 2,Arms Square 2,武器方塊 2
Arms Square 3,Weapons Square 3,Arms Square 3,武器方塊 3
Arms Square 4,Weapons Square 4,Arms Square 4,武器方塊 4
Arms Square 5,Weapons Square 5,Arms Square 5,武器方塊 5
Arms Square Ace,Weapons Square Ace,Arms Square Ace,武器方塊 A
Arms Square Blank,Weapons Square Blank,Arms Square Blank,武器方塊 空白
Arrow-Line Tool,,Arrow/Line Tool,箭頭／直線工具
Arrows next to the top menu rewind-forward time (host only).,,Arrows next to the top menu rewind/forward time (host only).,頂部選單左側的箭頭可倒轉／快轉時間（僅限房主）
Asset name,,Asset name,配件名稱
AssetBundle,,AssetBundle,AssetBundle
Assets,,Assets,配件
Attach,,Attach,附加
Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.,,Attach the object to the other one in a parent child relationship. The object being attached is no longer it's own entity and only exists visually.,將物件以父子關係附加到另一個物件上。被附加的物件將不再是獨立的實體，只會以視覺效果呈現。
Attached UI Screen,,Attached UI Screen,附加介面
Attack,,Attack,攻擊
Audio,,Audio,音訊
Audio name,,Audio name,音訊名稱
Auto,,Auto,自動
Auto Hide Chat,,Auto Hide Chat,自動隱藏聊天室
Auto Run,,Auto Run,自動前進
Auto Scale,,Auto Scale,自動尺寸比例
Auto connect to IRC on startup.,,Auto connect to IRC on startup.,自動連線至 IRC。
Auto raise,,Auto raise,自動提起
Auto scale will automatically size the UI to match the resolution ignoring the slider.,,Auto scale will automatically size the UI to match the resolution ignoring the slider.,自動縮放將自動調整介面尺寸以符合解析度。
"Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position.",,"Auto: Measure from objects where appropriate. When hovering, hold CTRL to use the pointer position instead. Free: Measure using only your pointer position.","自動：在適當情況下自動測量；懸停時按住 Crtl 以使用游標位置。
自由：僅使用游標位置測量。"
Autofocus Search Input,,Autofocus Search Input,自動對焦搜尋輸入
Automatic,,Automatic,自動
Automatically arranges objects (predominantly cards),,Automatically arranges objects (predominantly cards),自動整理物件（主要針對卡片）
Autoraise,,Autoraise,自動朝上
Autosave Games Window Count,,,自動儲存遊戲顯示數量
Autosave Interval,,Autosave Interval,自動儲存間隔
Autosave Log,,Autosave Log,自動儲存記錄
Autosave Slots,,,自動儲存欄位
Available space on Steam Cloud. ~100 GB available total.,,Available space on Steam Cloud. ~100 GB available total.,Steam 雲端的可用空間。總計 100 GB 可用。
Axis,,Axis,參考軸線
BACKGROUNDS,,Backgrounds,背景
BLOCK,,Block,封鎖
BLOCKED,,Blocked,黑名單
Back,,Back,背面
Back Image,,Back Image,背景圖
Back is Hidden,,Back is Hidden,背面隱藏
Backgammon,,Backgammon,雙陸棋
Background,,Background,背景
Backspace,,Backspace,← Backspace
Bad Connection,,Bad Connection,網路連線不佳
Bag,,Bag,收納袋
Barghest,,Barghest,犬魔
Barrel,,Barrel,木桶
Basilisk,,Basilisk,巴西利斯克
Battle For Souls,,Battle For Souls,靈魂之戰
Bear,,Bear,熊
Bind,,Bind,綁定
Bishop,,Bishop,主教
Bishop Cast Iron,,Bishop Cast Iron,鑄鐵主教
Bishop Chrome,,Bishop Chrome,鉻金主教
Bishop Dark,,Bishop Dark,深色主教
Bishop Light,,Bishop Light,淡色主教
Bishop Supporters,,Bishop Supporters,支持者限定主教
Black,,Black,黑色
Black (Game Master - see all hidden information),,Black (Game Master - see all hidden information),黑色（遊戲主持者——可查看所有隱藏資訊）
Black (Game Master),,Black (Game Master),黑色（遊戲主持者）
Black Bowl,,Black Bowl,黑棋棋盒
Black Dragon,,Black Dragon,黑龍
Black Piece,,Black Piece,黑棋
Blindfold,,Blindfold,蒙眼布
Blindfolded (Can't see),,Blindfolded (Can't see),已戴上蒙眼布（無法查看）
Block ?,,Block <Player>?,是否要封鎖＜玩家＞呢？
Block {0}?,,Block {0}?,是否要封鎖「{0}」呢？
Blocks,,Blocks,積木
Blue,,Blue,藍色
Blue 10,,Blue 10,藍色籌碼 10
Blue Rectangle,,Blue Rectangle,藍色長方積木
Board,,Board,棋盤
Board Games,,Board Games,棋盤遊戲
Boardgame,,Boardgame,棋盤遊戲
Boards,,Boards,棋盤
Book Buttons On Hover,,Book Buttons On Hover,懸停狀態的圖書按鈕
Book Page Opacity,,Book Page Opacity,書頁不透明度
Book UI Opacity,,Book UI Opacity,圖書介面不透明度
Both,,Both,兩者皆是
Bottom Image,,Bottom Image,底部圖案
Bounciness,,Bounciness,彈性
Bowl,,Bowl,收納盒
Box,,Box,矩形
Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.,,Box select multiple objects and press the key to group them together. This only works for stackable objects and cards. This can also be done in the Contextual Menu.,框選或多選物件後，按下＜G＞將他們整理成一組。僅適用於可堆疊的物件和卡片。在環境選單中也可以執行此動作。
Break Force,,Break Force,破壞力度
Break Torque,,Break Torque,破壞扭力
Brightness,,Brightness,亮度
Broken Confirmation Dialog!,,Broken Confirmation Dialog!,損壞的確認對話！
Brown,,Brown,棕色
Brown Backgammon,,Brown Backgammon,棕色雙陸棋棋子
Browse,,Browse,瀏覽
Browse Local Files,,Browse Local Files,瀏覽本機檔案
Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.,,Browse Your Workshop Mods. If querying Workshop some of your mods might not be listed. You must also be subscribed to your mod to show up here.,瀏覽您的工作坊模組。若發現工作坊的部分模組未列出，請務必訂閱自己的模組以顯示。
Browse mods on the Workshop.,,Browse mods on the Workshop.,在工作坊瀏覽模組。
Business Coordinator,,Business Coordinator,業務協調人
CHAT COMMANDS,,Chat Commands,聊天室
CLASSIC,,Classic,經典
CLEAR,,Clear,清空
CLOUD,,Cloud,雲端
CM,,CM,CM
COMPONENTS,,Components,配件
CONTEXTUAL MENU,,Contextual Menu,環境選單
CONTROLLERS,,Controllers,控制器
CONTROLS,,Controls,控制
CREATE,,Create,建立
CREATE ASSET,,Create Asset,新增配件
CREATE DECAL,,Create Decal,新增印花
CUSTOM ASSETBUNDLE,,Custom Assetbundle,自訂 AssetBundle
CUSTOM BACKGROUND,,Custom Background,自訂背景
CUSTOM BOARD,,Custom Board,自訂棋盤
CUSTOM CARD,,Custom Card,自訂卡片
CUSTOM DECK,,Custom Deck,自訂牌堆
CUSTOM DICE,,Custom Dice,自訂骰子
CUSTOM FIGURINE,,Custom Figurine,自訂塑像
CUSTOM IMAGE,,Custom Image,自訂圖案
CUSTOM JIGSAW,,Custom Jigsaw,自訂拼圖
CUSTOM MODEL,,Custom Model,自訂模型
CUSTOM OBJECT,,Custom Object,自訂物件
CUSTOM PDF,,Custom PDF,自訂 PDF
CUSTOM TABLE,,Custom Table,自訂桌子
CUSTOM TABLE SQUARE,,Custom Table Square,自訂方桌
CUSTOM TILE,,Custom Tile,自訂磚塊牌
CUSTOM TOKEN,,Custom Token,自訂標記物
Calculator,,Calculator,計算器
Camera,,Camera,鏡頭
Camera Down,,Camera Down,鏡頭向下
Camera Hold Rotate,,Camera Hold Rotate,鏡頭旋轉
Camera Left,,Camera Left,鏡頭向左
Camera Load Spin Rate,,Camera Load Spin Rate,鏡頭載入轉速
Camera Mode,,Camera Mode,鏡頭模式
Camera Right,,Camera Right,鏡頭向右
Camera Up,,Camera Up,鏡頭向上
Camera mode that functions like a FPS.,,Camera mode that functions like a FPS.,鏡頭模式如 FPS（第一人稱射擊遊戲）一樣運作。
Camera mode that functions like a top down 2d game.,,Camera mode that functions like a top down 2d game.,鏡頭模式如自上而下的 2D 遊戲一樣運作。
Camera mode that is like a spectator camera in a FPS.,,Camera mode that is like a spectator camera in a FPS.,鏡頭模式如 FPS（第一人稱射擊遊戲）的旁觀者鏡頭一樣運作。
Camera mode that orbits a point similar to a MMO.,,Camera mode that orbits a point similar to a MMO.,鏡頭模式類似大型多人線上遊戲的聚焦點。
Camera mode that orbits a point.,,Camera mode that orbits a point.,鏡頭模式將聚焦一處。
Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users,,Camera state 0 will override the space bar position for everyone at the table instead of using the hand location. Move your camera where you want your default camera position to be and press Ctrl + 0. This is the new space bar position for all users,鏡頭 0 將取代使用手部位置，覆蓋桌上所有人的空格位置。移動您的鏡頭至您想要作為預設鏡頭的位置並按下＜Ctrl + 0＞。這是所有使用者的新空格位置。
Cancel,,Cancel,取消
Cannot overwrite default themes.,,Cannot overwrite default themes.,無法覆蓋預設主題。
Cap Framerate,,Cap Framerate,幀率鎖定
Card,,Card,卡片
Card Games,,Card Games,卡片遊戲
Card Hands,,Card Hands,卡片手牌區
Card Is A Deck For Hotkeys,,Card Is A Deck For Hotkeys,快速鍵會將單張卡片視為牌堆
Card Scale,,Card Scale,卡片尺寸
Card Spread Cards-Per-Row,,,每行卡片展開上限
Card Spread Distance,,,卡片展開間距
Card Spread Next Row Distance,,,卡片展開行距
CardBot,,CardBot,卡片機器人
CardBots Head Deck,,CardBots Head Deck,卡片機器人 頭部牌堆
CardBots Main Deck,,CardBots Main Deck,卡片機器人 主要牌堆
Cardboard,,Cardboard,紙板
Cards,,Cards,卡片
Cards-Per-Deck,,Cards Per Deck,每組卡片數量
Cast Shadows,,Cast Shadows,光源陰影
Category,,Category,類別
Cathedral,,Cathedral,大教堂
Centaur,,Centaur,半人馬
Center,,Center,中心
Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.,,Center: Gizmos placed at selected object's pivot point. Pivot: Gizmos placed at selected object's pivot point.,"中心：使用物件樞軸關節的坐標系。
樞軸：使用使用物件樞軸關節的坐標系。"
Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.,,Center: Gizmos placed at the center of the selection. Pivot: Gizmos placed at selected object's pivot point.,"中心：使用選取物件中心的坐標系。
樞軸：使用使用物件樞軸關節的坐標系。"
Centre On Mouse Wheel,,Centre On Mouse Wheel,以游標為中心縮放
Cerberus,,Cerberus,克爾柏洛斯
Certain object types have special properties to make them behave more naturally.,,Certain object types have special properties to make them behave more naturally.,某些物件類型具有特殊屬性，使其表現得更加自然。
Chair,,Chair,椅子
Change Color,,Change Color,更改顏色
Change Name,,,更改名稱
Change Team,,Change Team,更換小組
"Change any settings like Graphics, Controls, UI, etc.",,"Change any settings like Graphics, Controls, UI, etc.",更改如圖像、控制、介面等設定。
Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat),,Change between Voice Chat Modes: Push To Talk (Hold the voice key) Toggle (Toggle voice on or off) Disable (Turns off voice chat),切換語音聊天模式：即按即說（按住語音鍵）；切換語音（開啟／關閉語音）；停用語音（關閉語音聊天）
Change the chat window color.,,Change the chat window color.,更改聊天室視窗顏色。
Change the color of the light shining from above.,,Change the color of the light shining from above.,更改上方光照的顏色。
Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.,,Change the meta data for your currently loaded game. This info is searchable in-game and on the Workshop.,更改目前載入遊戲的中繼資料。這些資訊可在遊戲中或工作坊中搜尋。
Change the tooltip on object based on its rotation. Great for custom dice or tiles.,,Change the tooltip on object based on its rotation. Great for custom dice or tiles.,基於旋轉角度更改物件上的工具提示框。自訂骰子和磚塊牌時非常有用。
Change to the next page.,,Change to the next page.,更換至下一頁。
Change to the next state.,,Change to the next state.,更換至下一狀態。
Changes chat Opacity.,,Changes chat Opacity.,調整聊天室的不透明度。
Changes how strong the light shines from above. This also effects the strength of the shadows.,,Changes how strong the light shines from above. This also effects the strength of the shadows.,調整上方光照的強弱。此設定也會影響陰影的深淺。
Changes the Camera look speed.,,Changes the Camera look speed.,調整鏡頭移動速度。
Changes the amount the camera can see.,,Changes the amount the camera can see.,調整鏡頭可視的物體數量。
Changes the color of the grid.,,Changes the color of the grid.,更改網格顏色。
Changes the font size.,,Changes the font size.,更改字型大小。
Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.,,Changes the global volume of all in-game mp3 players. You can still adjust the volume on a per object basis.,調整遊戲中所有 MP3 播放器的音量。您仍可以單獨調整每個 MP3 播放器的音量。
Changes the global volume of everything.,,Changes the global volume of everything.,調整所有物品的全域音量。
Changes the in-game volume of objects.,,Changes the in-game volume of objects.,調整物件的遊戲音量。
Changes the intensity of the LUT.,,Changes the intensity of the LUT.,調整 LUT 效果的強度。
Changes the speed in which your camera moves.,,Changes the speed in which your camera moves.,調整鏡頭移動的速度。
Changes the transparency the grid.,,Changes the transparency the grid.,調整網格的透明度。
Changes the volume of other player's voice.,,Changes the volume of other player's voice.,調整玩家語音的音量。
Changes the volume of the main menu music.,,Changes the volume of the main menu music.,調整主選單的音樂音量。
Changes the volume of your voice.,,Changes the volume of your voice.,調整輸入語音的音量。
Chat,,Chat,聊天室
Chat Settings,,Chat Settings,聊天室設定
Chat will auto hide after a set amount of time.,,Chat will auto hide after a set amount of time.,聊天室將在設定時間之後自動隱藏。
Chat will filter rude words and misbehaviour.,,Chat will filter rude words and misbehaviour.,聊天室會過濾不雅及惡劣語言。
Check,,Check,檢查
Check out the patch!,,Check out the patch!,發現新版本！
Check this to enable controller input.,,Check this to enable controller input.,檢查此項以啟用控制器輸入。
Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.,,Check this to enable touch support. Note: This currently stops mouse input from working properly while enabled.,檢查此項以啟用觸控支援。提示：啟用時會停用目前的滑鼠輸入。
Checkers,,Checkers,西洋跳棋
Chess,,Chess,西洋棋
Chest,,Chest,箱子
Chest Tools,,Chest Tools,箱子工具
Chimera,,Chimera,奇美拉
Chinese Checkers,,Chinese Checkers,中國跳棋
Chip,,Chip,棋子
Choose Color,,Choose [DA1918]C[E18438]o[E7E52C]l[31B32B]o[1F87FF]r,選擇 [DA1918]C[E18438]o[E7E52C]l[31B32B]o[1F87FF]r
"Choose between a box, hex horizontal, or hex vertical grid.",,"Choose between a box, hex horizontal, or hex vertical grid.",選擇方形、垂直六邊形或水平六邊形。
Choose between automatic or custom turns.,,Choose between automatic or custom turns.,選擇自動回合順序或自訂回合順序。
Choose between the old (Static) grid and the new one (Projection).,,Choose between the old (Static) grid and the new one (Projection).,選擇傳統（靜態）網格或新式（投射）網格。
Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.,,Choose from a variety of LUTs (Look-up Texture) to change the color grading of the scene.,選取 LUT 效果以更改場景配色。
Choose the location for your mods folder.,,Choose the location for your mods folder.,選擇模組的儲存位置。
Circle,,Circle,圓形
Classic Games that are included as part of Tabletop Simulator by default.,,Classic Games that are included as part of Tabletop Simulator by default.,桌遊模擬器預設含有經典的桌上遊戲。
Clear the table.,,Clear the table.,清空桌面。
Click Tooltip on Menu,,Click Tooltip on Menu,點擊選單上的提示
Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Right click to change the color of the hand.,,Click a player hand to delete it. Click and drag to create a new hand. You can have multiple hands of the same color. Left-click to change the color of the hand.,點擊可刪除玩家手牌區。點擊並拖放可繪製新的手牌區。左鍵點擊手牌區可設定顏色，也可擁有多個同樣顏色的手牌區。
